order_id,customer_id,order_date,status
1,204,2023-01-01,completed
2,1189,2023-01-01,completed
3,1574,2023-01-01,completed
4,1452,2023-01-01,completed
5,46,2023-01-01,completed
6,12,2023-01-01,completed
7,587,2023-01-01,completed
8,1894,2023-01-01,completed
9,472,2023-01-01,completed
10,1700,2023-01-01,completed
11,320,2023-01-01,completed
12,1904,2023-01-01,returned
13,909,2023-01-01,completed
14,1114,2023-01-01,completed
15,1089,2023-01-01,completed
16,978,2023-01-01,completed
17,464,2023-01-02,completed
18,464,2023-01-02,cancelled
19,66,2023-01-02,completed
20,610,2023-01-02,completed
21,1597,2023-01-02,completed
22,619,2023-01-02,completed
23,1687,2023-01-02,completed
24,1726,2023-01-02,completed
25,32,2023-01-02,completed
26,450,2023-01-02,completed
27,663,2023-01-02,cancelled
28,99,2023-01-02,cancelled
29,1304,2023-01-02,completed
30,1495,2023-01-02,completed
31,1928,2023-01-02,completed
32,1269,2023-01-02,completed
33,1288,2023-01-02,completed
34,1587,2023-01-02,completed
35,862,2023-01-02,completed
36,851,2023-01-02,cancelled
37,1400,2023-01-03,returned
38,867,2023-01-03,returned
39,1739,2023-01-03,completed
40,185,2023-01-03,completed
41,1613,2023-01-03,completed
42,876,2023-01-03,completed
43,1198,2023-01-03,cancelled
44,356,2023-01-03,completed
45,1502,2023-01-03,returned
46,480,2023-01-03,returned
47,1381,2023-01-03,completed
48,1504,2023-01-03,completed
49,1653,2023-01-03,cancelled
50,168,2023-01-03,completed
51,596,2023-01-04,completed
52,185,2023-01-04,completed
53,562,2023-01-04,completed
54,1780,2023-01-04,returned
55,136,2023-01-04,completed
56,1247,2023-01-04,completed
57,823,2023-01-04,completed
58,513,2023-01-04,completed
59,1813,2023-01-04,completed
60,1775,2023-01-04,completed
61,1122,2023-01-04,completed
62,125,2023-01-04,completed
63,614,2023-01-04,completed
64,1747,2023-01-04,completed
65,410,2023-01-04,completed
66,1035,2023-01-04,completed
67,1891,2023-01-04,completed
68,1607,2023-01-05,cancelled
69,854,2023-01-05,completed
70,785,2023-01-05,completed
71,1960,2023-01-05,completed
72,1597,2023-01-05,completed
73,1911,2023-01-05,completed
74,1200,2023-01-05,completed
75,1330,2023-01-05,completed
76,427,2023-01-05,completed
77,1467,2023-01-05,completed
78,654,2023-01-05,completed
79,1857,2023-01-05,cancelled
80,978,2023-01-05,completed
81,1910,2023-01-06,completed
82,1977,2023-01-06,
83,1656,2023-01-06,completed
84,1035,2023-01-06,completed
85,1102,2023-01-06,completed
86,1580,2023-01-06,completed
87,818,2023-01-06,completed
88,458,2023-01-06,completed
89,1996,2023-01-06,completed
90,159,2023-01-06,completed
91,251,2023-01-06,completed
92,1890,2023-01-06,returned
93,1582,2023-01-06,returned
94,330,2023-01-06,completed
95,1578,2023-01-06,completed
96,301,2023-01-06,completed
97,1218,2023-01-06,completed
98,1278,2023-01-06,completed
99,1763,2023-01-06,completed
100,1479,2023-01-06,completed
101,1962,2023-01-06,completed
102,472,2023-01-06,cancelled
103,895,2023-01-06,completed
104,187,2023-01-06,completed
105,360,2023-01-06,completed
106,1211,2023-01-06,completed
107,1044,2023-01-06,completed
108,1777,2023-01-06,completed
109,1635,2023-01-06,completed
110,1664,2023-01-07,returned
111,1702,2023-01-07,completed
112,516,2023-01-07,completed
113,1721,2023-01-07,completed
114,284,2023-01-07,completed
115,71,2023-01-07,completed
116,973,2023-01-07,completed
117,634,2023-01-07,completed
118,997,2023-01-07,completed
119,1282,2023-01-07,completed
120,225,2023-01-07,completed
121,1904,2023-01-07,completed
122,1394,2023-01-07,completed
123,1132,2023-01-07,completed
124,629,2023-01-07,completed
125,1384,2023-01-07,completed
126,1237,2023-01-07,completed
127,1916,2023-01-07,cancelled
128,1178,2023-01-07,completed
129,1756,2023-01-07,cancelled
130,560,2023-01-07,completed
131,1184,2023-01-07,completed
132,1572,2023-01-07,completed
133,812,2023-01-07,
134,310,2023-01-07,completed
135,1856,2023-01-07,completed
136,1822,2023-01-07,completed
137,1946,2023-01-07,returned
138,992,2023-01-07,completed
139,1918,2023-01-07,completed
140,602,2023-01-07,completed
141,1138,2023-01-07,returned
142,811,2023-01-07,completed
143,1103,2023-01-08,completed
144,593,2023-01-08,completed
145,372,2023-01-08,completed
146,1775,2023-01-08,completed
147,205,2023-01-08,completed
148,618,2023-01-08,completed
149,97,2023-01-08,completed
150,1437,2023-01-08,cancelled
